product_id,star_rating,review
B00IKPZ5V6,5,Kind kindle
B00IKPYKWG,5,in love
B00IKPZ5V6,5,Love my Kindle Fire HD
B00IKPZ5V6,5,Another great Kindle
B00IKPYKWG,5,Fantastic!
B00IKPYKWG,1,We have two kindle fires. The 7 and the ...
B00LCI2I7C,2,Bad sounding speakers!
B00IKPW0UA,5,fire
B00IKPYKWG,4,So far so good. Wanted a small reader that could also be ...
B00IKPW0UA,5,Five Stars
B00IKPYKWG,1,One Star
B00LCI2I7C,5,Love it
B00IKPX4GY,3,I like to use hard copy of instruction manuals but I ...
B00IKPX4GY,5,it's great. This is my second Fire and my third ...
B00IKPYKWG,5,Perfectly Amazing!!!!!  
B00IKPYKWG,5,Amazing
B00IKPYKWG,4,Where can I find the link to install wechat on my kindle fire?
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00LCHS1FG,5,Very happy!
B00IKPX4GY,3,Three Stars
B00KC6XV58,5,Kindle For Life!!!!
B00KC6XV58,5,Five Stars
B00IKPZ5V6,3,Not that great
B00IKPW0UA,4,Four Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,1,Highway ROBBERY!!!!!!
B00IKPYKWG,5,Love It.
B00LCHS1FG,5,Love my Kindle!
B00IKPZ5V6,1,I paid 157. 00 after the price with shipping ...
B00IKPYKWG,5,Five Stars
B00IKPYKWG,3,Reading books it's ok but not a great tablet for all of the choices available on other ...
B00IKPYKWG,5,Exceeds!
B00IKPW0UA,4,just wish when you buy the kindle from a retailer ...
B00IKPZ5V6,4,love it!!!
B00IKPX4GY,5,Great item
B00IKPYKWG,5,Five Stars
B00IKPX4GY,5,Five Stars
B00IKPZ5V6,5,thank you Jim and Andrea.I love it
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,Great little tablet for the money well worth it!
B00KC6XV58,4,I love it but not user friendly
B00IKPYKWG,5,Five Stars
B00KC72CRU,4,Four Stars
B00IKPX4GY,1,One Star
B00IKPZ5V6,5,Love it
B00IKPYKWG,5,Five Stars
B00IKPYKWG,3,good
B00IKPYKWG,5,It is a good product for the price
B00IKPYKWG,5,Convenient
B00IKPYKWG,5,Love it for the price
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,I loved my first generation Kindle Fire for three years before ...
B00IKPW0UA,5,Five Stars
B00LCHOCZY,4,Great kid's tablet paired with Amazon Free Time
B00IKPYKWG,3,The camera is poor. The downloads are easy
B00IKPYKWG,5,Cant beat the price for the quality
B00IKPYKWG,5,Great product for a very reasonable price
B00IKPZ5V6,4,Four Stars
B00IKPYKWG,4,There were a few features on my first Kindle Fire ...
B00IKPYKWG,5,KINDLE HD7
B00IKPX4GY,3,I'm having concerns about the volumn It goes all the ...
B00IKPYKWG,5,This Kindle is so much better than the one I bought 3 years ago
B00LCI2I7C,5,I really like my fire HD 7
B00KC72CRU,5,it is amazing for reading
B00IKPYKWG,5,Amazing Tablet!!!
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,5,better and better and easier than first kindle.
B00IKPZ5V6,4,Great tablet for the price.
B00IKPYKWG,1,Disappointing
B00IKPW0UA,5,Love!!!
B00KC6XV58,5,Very satisfied Kindle customer
B00IKPYKWG,1,Disappointed. One month and broken already
B00IKPW0UA,5,Five Stars
B00IKPYKWG,1,Don't Bother
B00IKPW0UA,2,Disappointed based on prior fire.
B00IKPYKWG,5,I ahve never been one not to love turning pages in of a book
B00IKPZ5V6,4,Good buy
B00IKPZ5V6,5,Very happy with the new tablet
B00IKPW0UA,5,Great Tablet
B00IKPZ5V6,5,"The Kindles are the best tablets for the money, and rival tablets that cost much more."
B00IKPZ5V6,1,Don't Purchase for Children over 9
B00IKPX4GY,2,Poor Cam
B00IKPZ5V6,5,Love love love
B00LCHRQL6,5,Five Stars
B00IKPYKWG,5,new 7 is awesome!!
B00IKPW0UA,4,Four Stars
B00IKPZ5V6,3,... the shopping icon show up on my carousel very annoying. cant seem to turn off the locator that ...
B00IKPX4GY,4,Four Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,I really like it. I have had no problems
B00KC6XV58,2,Their operating system is what I expected
B00IKPYKWG,5,Yay! The power button is on top of the device!
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Outstanding is an understatement.
B00IKPW0UA,4,"GOOD JOB, AMAZON"
B00IKPYKWG,5,Kindle
B00IKPW0UA,5,Great battery life
B00IKPZ5V6,5,Suits my needs perfectly
B00LCHRQL6,4,Excellent...so far
B00IKPYKWG,1,Not satisfied at all with this product
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00KC89C2C,5,Seems like it would be good for older kids as well
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,"Easy to Configure, Great Pic for my Shows, Glad Pmt Plan was Available"
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,5,New ones even better. Easy to navigate through and overall lovely
B00IKPYKWG,5,Great
B00IKPZ5V6,5,Five Stars
B00IKPW0UA,2,"It's ok, kind of slow when compared to other ..."
B00IKPYKWG,5,The first one was damaged by accident and i wanted to get the same thing as I was very happy with it
B00IKPW0UA,4,"its nice, I just wish battery life was longer"
B00IKPZ5V6,4,Very cool table and easy to use
B00IKPYKWG,4,Standard problem. Standard solution.
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,great deal! $79.99
B00IKPW0UA,4,I like downloading books to read
B00IKPZ5V6,4,Great Buy!
B00LCHRQL6,5,great! But the Amazon support is even
B00IKPZ5V6,3,Amazon Fire need a little more spark.
B00KC72CRU,3,Nice picture and does the simple things I wanted it ...
B00LCI2I7C,5,Love it!
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,best tablet
B00IKPZ5V6,5,Five Stars
B00IKPX4GY,5,Five Stars
B00IKPZ5V6,4,hard to adjust
B00LCHOCZY,5,love it!
B00LCHS1FG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00KC6XV58,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,4,Pleasantly Surprised
B00LCHS1FG,5,Five Stars
B00LCI2I7C,5,Great value
B00IKPZ5V6,5,Love it!
B00IKPX4GY,5,Five Stars
B00LCHSHMS,3,Three Stars
B00IKPYKWG,5,Five Stars
B00IKPW0UA,5,I love
B00LCHWEPE,5,Five Stars
B00IKPYKWG,4,"I previously had a Kindle Fire that I loved, however it was hard to read outside"
B00IKPW0UA,3,It displays advertisement from Amazon which is annoying.
B00IKPZ5V6,4,My Kindle Fire HD 7 has been a user-friendly device ...
B00IKPZ5V6,2,Its nice and cheap but the app store is awful
B00IKPYKWG,4,Four Stars
B00IKPZ5V6,5,Kindle user all the way.
B00IKPW0UA,5,Five Stars
B00LCI2I7C,3,Placed older model
B00IKPYKWG,4,Four Stars
B00IKPYKWG,1,Crap. Only buy if you want to replace in a year.
B00IKPZ5V6,4,Different
B00KC6XV58,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,5,Very nice tablet.
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,but I love it. The display is sharp and easy to ...
B00LCHOCZY,5,Five Stars
B00LCHS1FG,5,Great for traveling.net v
B00IKPW0UA,5,Five Stars
B00IKPYKWG,4,Excellent Tablet but exchanged for at 16 GB Fire HD Tablet
B00IKPYKWG,5,Fire Kindle HD with Case
B00IKPYKWG,4,Enjoying the Kindle Fire HD 7 4th generation
B00IKPYKWG,4,Four Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,"I like it, but it would be nice if it ..."
B00KC89C2C,4,"Good product, but short battery life"
B00IKPZ5V6,5,The Right Size
B00IKPW0UA,5,Great gift
B00IKPYKWG,5,i never thought i would want or even like a kindle-but so far
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPW0UA,5,Five Stars
B00IKPYKWG,5,Five Stars
B00LCHOCZY,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,My 92 yr. old mom loves kindle too
B00LCI2I7C,4,Pink is great. Needs more apps!!
B00IKPW0UA,4,I love the tablet
B00IKPYKWG,5,Love it
B00IKPZ5V6,4,Quite the Amazon family
B00LCHSHMS,2,Bad charging process!
B00IKPW0UA,5,Five Stars
B00IKPW0UA,3,Three Stars
B00IKPZ5V6,3,For the $79 price it is a pretty good purchase
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPW0UA,3,Battery life is disappointing.
B00IKPYKWG,4,i am enjoying my new Kindle so far. I ...
B00IKPYKWG,5,LOVE LOVE LOVE my Kindle and Amazon!
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,1,Don't bother with this one not worth the money
B00IKPW0UA,5,Love my Kindle Fire!
B00IKPYKWG,5,Five Stars
B00KC6XV58,2,Free time flaw
B00LCHSHMS,2,I'm a bit disappointed. The price was great
B00LCHWEPE,1,Kindle - No Bueno - Ad Heavy
B00LCHSHMS,5,"Great graphics, much better sound"
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,4,Four Stars
B00IKPYKWG,3,Great for use as a kindle and for basic surfing
B00IKPW0UA,5,Got it On Cyber Monday!
B00LCHNGZG,5,Five Stars
B00IKPYKWG,5,ITS PERFECT
B00IKPW0UA,2,Two Stars
B00IKPYKWG,2,So so
B00IKPW0UA,5,Five Stars
B00IKPYKWG,1,This is very slow. Likes to freeze up. ...
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Great for price.
B00IKPW0UA,4,HELP!
B00IKPYKWG,2,Not a fan of the HD 7
B00IKPYKWG,3,It gets frustrating...
B00KC6XV58,5,LOVE this Kindle
B00IKPYKWG,1,Gotta a Lemon!!
B00IKPYKWG,5,Bang for your buck.
B00IKPW0UA,3,No upright position
B00IKPW0UA,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,Great tablet
B00KC6XV58,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPW0UA,5,works great
B00IKPYKWG,5,Very easy to use
B00IKPYKWG,3,Three Stars
B00IKPW0UA,4,Adore my kindle
B00KC6XV58,3,Three Stars
B00IKPYKWG,4,Amazing tablet and even better price
B00KC89C2C,3,Fine for reading; frustrating for online use
B00LCHWEPE,4,and it was as easy to set up as the rest
B00LCHOCZY,5,Five Stars
B00LCHOCZY,5,great product.
B00IKPYKWG,5,good purchase
B00LCHWEPE,4,Four Stars
B00IKPYKWG,4,Four Stars
B00KC89C2C,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,3,Good table for the price.
B00IKPYKWG,5,Five Stars
B00IKPW0UA,5,Five Stars
B00LCHRQL6,3,"It works fine, but I find the ""offers"" as disconcerting"
B00IKPYKWG,5,fantastic deal
B00LCHWEPE,3,great tablet horrible battery
B00LCHWEPE,5,Love it! Will order another one
B00IKPYKWG,5,When I returned home everything downloaded fine. It was the fault of the internet server
B00IKPX4GY,5,Five Stars
B00IKPYKWG,5,the hd quality is great.
B00LCHOCZY,5,Five Stars
B00IKPYKWG,5,present for the grandkid
B00IKPZ5V6,5,This product was easy to setup easy to use
B00IKPYKWG,5,very happy with my Fire
B00IKPYKWG,5,Love my new Kindle Fire 7 I do a lot ...
B00IKPYKWG,4,More memory
B00KC6XV58,5,"Great amazon product, makes reading very convenient and enjoyable."
B00IKPW0UA,5,Five Stars
B00IKPYKWG,1,"Worked for one year,...then.."
B00IKPZ5V6,5,I am really enjoying my HD 7... ...
B00IKPW0UA,5,Five Stars
B00IKPW0UA,1,Not Happy.
B00IKPYKWG,4,Good Value
B00IKPYKWG,5,Compact and Awesome
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,4,A pretty good deal
B00IKPYKWG,5,Five Stars
B00IKPW0UA,4,Four Stars
B00IKPYKWG,2,Disappointed
B00IKPW0UA,5,Five Stars
B00IKPYKWG,5,Exceeded my expectations
B00IKPYKWG,5,Great for the kids and Grandpa as well !
B00IKPZ5V6,4,"4.5 Stars - Outstanding value, but still room for improvement"
B00LCHOCZY,5,Five Stars
B00IKPYKWG,1,freezing screen
B00LCHWEPE,3,don't buy it for the camera
B00IKPYKWG,5,Five Stars
B00IKPX4GY,4,Glad i bought it
B00IKPYKWG,5,Five Stars
B00IKPYKWG,2,Wish I could have kept the first one.
B00IKPZ5V6,5,Five Stars
B00LCHS1FG,5,Five Stars
B00IKPZ5V6,1,my kindle HDX 7 got knocked off a chair and broke
B00IKPYKWG,5,well done Amazon
B00IKPZ5V6,5,Absolutely love this ordered for my 2 yr old who couldn't ...
B00IKPYKWG,5,love it
B00IKPZ5V6,2,I was very disappointed that I can not see the screen outside
B00IKPX4GY,5,Five Stars
B00IKPW0UA,4,Great ease of use and variety of entertainment
B00IKPZ5V6,5,"good, and prompt delivery"
B00IKPYKWG,5,"more then an ereader, the Kindle fireHD7, all the bells and whistles"
B00LCHSHMS,4,didn't particularly want it but glad I have it
B00IKPZ5V6,5,Good Buy during Prime Day
B00IKPZ5V6,3,Three Stars
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,good
B00IKPW0UA,4,small and easy to work.
B00LCHOCZY,1,"Fire 7.7"" HD"
B00IKPYKWG,4,I was very annoyed and seriously considering paying to get my old kindle ...
B00IKPYKWG,2,Charger?  Who needs a Stinking Charger?
B00IKPZ5V6,3,Three Stars
B00IKPZ5V6,1,to many pop ups and poor customer service. I wouldn't recommend
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00LCHWEPE,4,Four Stars
B00IKPYKWG,5,Love the size
B00IKPW0UA,5,they send me a thirdone so far doing great Amazon tean help was greate helping me solve the ...
B00IKPYKWG,5,like a rock
B00IKPYKWG,4,Great Gift
B00LCHWEPE,4,Made for a Lovely Gift
B00IKPYKWG,5,Five Stars
B00LCHWEPE,5,Fire HD 7 was bought as a gift........
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,2,slow and bulky
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,"Very happy, My husband has had one for quite sometime ..."
B00IKPYKWG,5,Five Stars
B00IKPYKWG,3,"... the old fire 7"" and somethings on it are better. the off switch is better located and the ..."
B00IKPW0UA,3,Battery lenght
B00IKPZ5V6,5,Five Stars
B00IKPW0UA,5,"My New Fire HD 7 7"" Kindel"
B00IKPZ5V6,4,I really liked the ability to read without additional lighting
B00IKPYKWG,5,"... is my first Kindle Reader and so far I enjoy it. I'm ""electronically challenged"""
B00IKPZ5V6,4,Four Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Love it. So does one of my daughters and ...
B00IKPX4GY,5,Perfect!
B00IKPZ5V6,5,Fired up!
B00IKPYKWG,5,I love it. It's thin and light it is very ...
B00LCHS1FG,5,Five Stars
B00IKPYKWG,5,Excellent!
B00IKPYKWG,1,One Star
B00IKPYKWG,3,Where are the Google Apps???
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,so I guess it is working out just fine.
B00LCHRQL6,4,Four Stars
B00IKPYKWG,5,Superb quality
B00IKPYKWG,2,Two Stars
B00IKPX4GY,3,Three Stars
B00IKPZ5V6,3,It is extremely difficult to remove all air bubbles from ...
B00IKPYKWG,1,HORRIBLE!
B00IKPYKWG,5,Five Stars
B00IKPYKWG,4,This new one the screen is perfect for colors and any videos
B00IKPZ5V6,2,Limited Software
B00IKPYKWG,5,Good product!
B00IKPZ5V6,1,This was unusual! Anything that could go wrong seems to.
B00IKPYKWG,1,disappointed
B00IKPYKWG,5,Just what I needed!
B00IKPZ5V6,1,It is no good. You cannot read a book outside
B00IKPYKWG,5,Five Stars
B00IKPYKWG,2,Disappointed
B00LCHOCZY,3,Three Stars
B00IKPYKWG,5,I love my fire HD 7
B00IKPX4GY,2,Two Stars
B00IKPW0UA,5,Five Stars
B00IKPZ5V6,3,Battery life not great if watching movies from amazon prime
B00IKPYKWG,5,The Best Gift Ever!!!!
B00IKPX4GY,4,A fine product!
B00IKPW0UA,2,Can't root.   No access to the google playstore.
B00IKPW0UA,5,"Fire HD 7"""
B00LCHWEPE,4,Four Stars
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,5,which is good for my hands
B00IKPZ5V6,5,Five Stars
B00LCHSHMS,5,Five Stars
B00LCHRQL6,5,Great Product!
B00IKPZ5V6,1,"Horrible, don't buy this!!!"
B00IKPYKWG,4,Happy I made this purchase.
B00IKPYKWG,5,He loves it and I enjoy not having to share mine
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,5,Very Satisfied
B00IKPYKWG,2,but have been pretty disappointed with the battery life and system
B00IKPW0UA,4,So far appears to exceed my expectations still Learning what ...
B00LCHS1FG,2,"Low storage capacity, poor camera, feels like cheap plastic"
B00LCHRQL6,5,"perfect for older users,thanks."
B00IKPZ5V6,5,Five Stars
B00LCI2I7C,2,No e-mail sign out!!!
B00LCHWEPE,5,Happy and satisfied.
B00IKPYKWG,5,Neat!
B00IKPYKWG,5,Great purchase. Wonderful upgrade from my basic Kindle
B00IKPX4GY,5,Five Stars
B00IKPYKWG,2,Two Stars
B00IKPW0UA,3,Nice hardware... not loving the ads...
B00IKPYKWG,3,Have to charge battery much more often. Not as ...
B00IKPYKWG,1,Very Disappointed
B00IKPYKWG,1,defective
B00IKPW0UA,5,Five Stars
B00IKPYKWG,1,DONT BUY!!!
B00IKPYKWG,5,Five Stars
B00LCHS1FG,5,just love it.
B00IKPYKWG,3,Not what I expected!
B00IKPYKWG,5,The best got better!
B00IKPYKWG,5,Five Stars
B00IKPYKWG,4,Four Stars
B00IKPZ5V6,2,... think it does some functions very well I am disappointed by some aspects of the tablet
B00IKPX4GY,5,Five Stars
B00IKPYKWG,4,Four Stars
B00IKPYKWG,4,Free music and movies are limited to poor choices including Amazon Prime
B00IKPYKWG,3,Overall its a good tablet. Cons
B00IKPYKWG,4,LOVED this feature
B00IKPYKWG,1,One Star
B00IKPYKWG,5,Five Stars
B00LCHWEPE,5,Five Stars
B00LCHWEPE,5,Five Stars
B00KC6XV58,5,Five Stars
B00LCHOCZY,2,the screen freezes often. It does not always go ...
B00LCHS1FG,5,Second Kindle!
B00IKPYKWG,3,"Easy to use, user-friendly, but not what I really wanted"
B00IKPYKWG,4,Great tablet
B00IKPYKWG,4,"I think it was a great purchase, just wish i had gotten a better ..."
B00IKPZ5V6,1,Very disappointed coming from a nook tablet
B00LCHOCZY,5,Love it!
B00IKPW0UA,5,Good product
B00LCHRQL6,5,Five Stars
B00KC6XV58,2,DO NOT BUY this unless it's extremely cheap - like $50 or less.
B00IKPZ5V6,5,Nice item.
B00IKPYKWG,5,fire
B00IKPYKWG,5,Awesome Product!
B00IKPYKWG,1,We had to take it back to best buy. We have owned two others
B00LCHOCZY,3,Three Stars
B00IKPZ5V6,3,I would like to have more apps available
B00LCHOCZY,5,"My life has been changed for the better, for the best!!!"
B00KC89C2C,5,Five Stars
B00IKPZ5V6,3,I Gave this to my Niece to have. I ...
B00IKPZ5V6,5,Wife Loves It More Than Me...
B00IKPZ5V6,4,"it was heavy and the picture quality was better than most 7"" tablets"
B00LCHWEPE,4,Four Stars
B00IKPYKWG,4,photos bug
B00IKPYKWG,5,Love it!
B00LCHOCZY,5,I love my kindle
B00LCHS1FG,5,Love is my Kindle Fire.
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,2,One of those products that reminds you of the saying ...
B00IKPYKWG,5,Five Stars
B00LCHWEPE,3,Three Stars
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,4,Good price!
B00IKPZ5V6,5,This is the best tablet that I have seen for this size
B00IKPYKWG,5,Love my Fire HD7!
B00IKPW0UA,4,I am happy with many of the features the Fire HD has ...
B00LCI2I7C,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Great Unit
B00IKPW0UA,5,this is the 9th one I have bought0
B00IKPX4GY,3,"I'm very excited about that high definition, however it's ..."
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,4,Like this Kindle was Lil smaller than I thought would ...
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,I like the size and weight
B00LCHSHMS,3,I thought it would be just as good or better than my old kindle 7
B00IKPW0UA,5,Rave review!!!
B00KC6XV58,4,Overall really good..
B00IKPYKWG,4,My new kindle!
B00IKPZ5V6,5,It is wonderful.
B00LCHRQL6,5,It works great.
B00IKPW0UA,5,5 stars for kindle 7 hd
B00IKPW0UA,5,Recommended
B00IKPW0UA,5,Five Stars
B00IKPW0UA,5,Good solution
B00IKPX4GY,5,Five Stars
B00LCHOCZY,5,Five Stars
B00IKPZ5V6,1,"If I had it to do again, I would've spent the extra money and gotten a Galaxy tab or similar."
B00IKPX4GY,4,Four Stars
B00LCHWEPE,5,Five Stars
B00KC89C2C,5,Five Stars
B00IKPYKWG,4,Picture
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,5,Five Stars
B00IKPW0UA,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00KC89C2C,5,Love It!!!
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,4,Four Stars
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,3,Three Stars
B00LCHS1FG,5,Convenient
B00LCI2I7C,4,I love the Kindle Fire for my own use (reading books
B00IKPYKWG,5,Kindle Fire a hit
B00IKPZ5V6,5,Five Stars
B00LCHRQL6,5,Five Stars
B00IKPW0UA,4,Four Stars
B00IKPYKWG,4,Four Stars
B00IKPZ5V6,5,Bought it for my 8 year old
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,4,Love it
B00LCI2I7C,4,"When listening to a book & playing a game, ..."
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,4,I absolutely love my Kindle
B00IKPYKWG,1,Really disappointed as I bought this as a gift
B00IKPYKWG,5,Five Stars
B00IKPW0UA,5,I love this thing
B00KC89C2C,2,Two Stars
B00IKPX4GY,5,Loved it !!!
B00LCI2I7C,5,Great Product
B00LCHSHMS,3,kindle review
B00IKPYKWG,5,Five Stars
B00LCHSHMS,5,Don't look for anything else
B00IKPW0UA,4,So far so good but i wish i could change the background or ...
B00IKPYKWG,5,I love my Kindle
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,1,Sold me a defective device that I am now stuck with.
B00IKPZ5V6,1,Feature regression
B00IKPYKWG,5,Five Stars
B00IKPZ5V6,5,Size is perfect. Love not having to pull out a laptop
B00IKPZ5V6,5,It's a great tablet. Very budget-friendly and it will do most ...
B00IKPYKWG,5,It's on Fire
B00IKPYKWG,5,Five Stars
B00IKPYKWG,4,Better Tech support would have saved me $150 but I was wrong. 1st Kindle IS dead after all.
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,3,"Not bad, not great."
B00IKPYKWG,5,Five Stars
B00LCI2I7C,5,Five Stars
B00IKPZ5V6,5,like lightening. Powers down fast
B00IKPYKWG,5,Five Stars
B00LCHS1FG,5,Wow
B00IKPYKWG,4,A nice tablet for the money
B00IKPZ5V6,5,Five Stars
B00IKPYKWG,2,needs more applications
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,This is my daughter's Kindle. She moved up from ...
B00IKPZ5V6,3,Three Stars
B00IKPYKWG,1,Worthless junk
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,5,wondetful and practical
B00IKPW0UA,5,Loving it
B00IKPZ5V6,5,Five Stars
B00IKPZ5V6,3,This was a replacement Kindle for my daughter for one ...
B00IKPZ5V6,2,Not happy
B00IKPYKWG,4,Great tablet for reading but need to get used to interface if have used other tablets previously
B00IKPW0UA,5,Great price and quality
B00IKPZ5V6,3,Lackluster even for the price
B00IKPZ5V6,2,ads
B00IKPYKWG,5,Five Stars
B00LCHOCZY,5,Five Stars
B00IKPX4GY,5,Five Stars
B00LCHRQL6,4,"good sound, high quality picture that's great for movies"
B00IKPZ5V6,3,Nice device but poor battery performance
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,Five Stars
B00IKPYKWG,5,It made my exceptation and some. I didn't realize ...
B00IKPW0UA,2,This is my third Kindle Fire and although I loved the first two
B00LCHRQL6,1,"Ok product, horrible customer service"
B00LCHRQL6,3,Good for the $99 sale price ...
B00LCHWEPE,4,"Excellent for what I want, with room to improve"
B00IKPZ5V6,5,Great upgrade
B00KC72CRU,5,Excellent tablet for the price.
B00IKPZ5V6,5,Great device! Meets all my expectations
B00IKPYKWG,5,Five Stars
B00LCI2I7C,5,Five Stars
B00IKPYKWG,3,Three Stars
B00LCHOCZY,5,It's awesome I love it
B00LCHWEPE,5,Five Stars
B00IKPX4GY,3,First I cUt root my device second on Minecraft the ...
B00IKPYKWG,5,Awesome E-Reader/Tablet
B00LCHSHMS,5,All in all love it!
B00KC6XV58,5,Great Tablet - Great Read
B00IKPW0UA,5,Five Stars
B00IKPYKWG,4,Good tablet for low price.
B00LCHS1FG,5,Kindle 7Hd
